datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-27 21:30:00+00:00,1785187800000,1141.3,1142.2,1140.0,1141.8,1322.409,1509926.5962,900
2026-07-27 21:45:00+00:00,1785188700000,1141.7,1141.8,1137.8,1137.8,1334.807,1518743.4046,1067
2026-07-27 22:00:00+00:00,1785189600000,1137.6,1137.7,1128.7,1128.7,1317.914,1487529.5318,1279
2026-07-27 22:15:00+00:00,1785190500000,1128.7,1132.1,1125.8,1127.0,2348.121,2646332.367,1597
2026-07-27 22:30:00+00:00,1785191400000,1126.4,1132.7,1126.4,1129.9,3200.698,3616468.6702,1575
2026-07-27 22:45:00+00:00,1785192300000,1130.0,1131.9,1126.6,1128.4,2757.333,3111374.5572,1787
2026-07-27 23:00:00+00:00,1785193200000,1128.2,1137.6,927.0,1132.7,118738.866,134495513.5182,35212
2026-07-27 23:15:00+00:00,1785194100000,1132.7,1141.2,1124.7,1139.9,15520.676,17692018.5724,8865
2026-07-27 23:30:00+00:00,1785195000000,1139.8,1140.9,1132.8,1135.3,10722.475,12173225.8675,3648
2026-07-27 23:45:00+00:00,1785195900000,1135.5,1139.6,1128.8,1136.2,18035.598,20492046.447600003,7093
2026-07-28 00:00:00+00:00,1785196800000,1136.2,1140.0,1109.5,1116.4,34462.82,38474292.248,15049
2026-07-28 00:15:00+00:00,1785197700000,1115.4,1121.7,1103.8,1114.0,30762.252,34269148.728,9827
2026-07-28 00:30:00+00:00,1785198600000,1114.0,1118.0,1107.7,1114.0,10772.212,12000244.168,4911
2026-07-28 00:45:00+00:00,1785199500000,1112.9,1113.8,1101.7,1106.1,10090.132,11160695.005199999,4649
2026-07-28 01:00:00+00:00,1785200400000,1106.1,1113.8,1096.9,1099.4,13434.731,14770143.261400001,5159
2026-07-28 01:15:00+00:00,1785201300000,1099.3,1106.2,1097.5,1104.6,6724.155,7427501.612999999,2753
2026-07-28 01:30:00+00:00,1785202200000,1104.6,1110.3,1093.6,1106.6,14436.891,15975863.580599999,6504
2026-07-28 01:45:00+00:00,1785203100000,1106.6,1107.4,1082.5,1082.5,19759.5,21389658.75,8502
2026-07-28 02:00:00+00:00,1785204000000,1082.6,1091.9,1074.7,1086.9,17094.362,18579862.057800002,8245
2026-07-28 02:15:00+00:00,1785204900000,1086.7,1103.1,1081.9,1089.5,14814.556,16140458.762,7055
2026-07-28 02:30:00+00:00,1785205800000,1089.7,1090.6,1080.6,1082.1,11089.25,11999677.424999999,6770
2026-07-28 02:45:00+00:00,1785206700000,1082.0,1086.5,1076.2,1082.5,6280.103,6798211.4975000005,5210
2026-07-28 03:00:00+00:00,1785207600000,1082.3,1082.5,1070.5,1074.9,8091.037,8697055.671300001,4760
2026-07-28 03:15:00+00:00,1785208500000,1075.3,1094.3,1073.8,1082.2,14723.896,15934200.251200002,10662
2026-07-28 03:30:00+00:00,1785209400000,1082.2,1096.0,1075.0,1091.2,13267.543,14477542.921600001,9740
2026-07-28 03:45:00+00:00,1785210300000,1091.4,1097.4,1086.6,1093.1,11126.104,12161944.282399999,6804
2026-07-28 04:00:00+00:00,1785211200000,1093.2,1093.3,1076.6,1078.6,9576.23,10328921.678,5964
2026-07-28 04:15:00+00:00,1785212100000,1078.4,1084.3,1072.8,1073.7,6820.695,7323380.2215,5157
2026-07-28 04:30:00+00:00,1785213000000,1073.7,1082.3,1070.2,1076.4,6172.778,6644378.239200001,4858
2026-07-28 04:45:00+00:00,1785213900000,1076.7,1088.7,1076.6,1084.8,5407.058,5865576.5183999995,4325
2026-07-28 05:00:00+00:00,1785214800000,1084.8,1095.0,1083.7,1086.8,8140.602,8847206.2536,4630
2026-07-28 05:15:00+00:00,1785215700000,1086.8,1086.9,1073.1,1074.1,6835.916,7342457.3756,4462
2026-07-28 05:30:00+00:00,1785216600000,1074.1,1085.4,1071.1,1084.3,10341.68,11213483.624,5897
2026-07-28 05:45:00+00:00,1785217500000,1084.0,1089.0,1073.0,1074.8,5472.069,5881379.7612000005,3710
2026-07-28 06:00:00+00:00,1785218400000,1074.7,1083.2,1064.5,1067.9,10392.143,11097769.5097,6792
2026-07-28 06:15:00+00:00,1785219300000,1067.9,1071.7,1060.8,1061.7,10569.564,11221706.098800002,5842
